n_trades,win_rate,avg_ret,median_ret,std_ret,sharpe,best,worst,profit_factor,period,threshold,top_n,hold_days
6944,0.4559331797235023,0.0186402310927722,-0.01353724468669678,0.1451701657204106,0.12840263011528286,1.2428619246861925,-0.20405619556055077,1.4357207422768217,train,5.0,5,30
6950,0.42258992805755397,0.042958785696949,-0.06058438360340344,0.21981451050736764,0.19543198307424353,2.2734133083411434,-0.20405619556055077,1.8223742181834728,train,5.0,5,60
6950,0.3902158273381295,0.0659281216528225,-0.08555057670994486,0.28084735645653386,0.23474716830039327,2.135630766411654,-0.20405619556055077,2.1509132813088114,train,5.0,5,90
12070,0.46089478044739024,0.018489362775465718,-0.012114009064515072,0.14273011601397403,0.12954072547419151,1.2428619246861925,-0.20405619556055077,1.4350656477188737,train,5.0,10,30
12080,0.4289735099337748,0.04371015589772941,-0.05706708308798253,0.21506407831479007,0.20324247656900982,2.2734133083411434,-0.20405619556055077,1.8440413038879193,train,5.0,10,60
12080,0.39437086092715234,0.06414704376929398,-0.08551529523357837,0.2742582566446135,0.23389284448203992,2.135630766411654,-0.20405619556055077,2.1254953052491485,train,5.0,10,90
15765,0.46019663812242306,0.018737773976757896,-0.013100356711513021,0.14396107747669767,0.1301586116552295,1.875777271576816,-0.20405619556055077,1.4382416024900282,train,5.0,15,30
15774,0.43159629770508434,0.04597657889204538,-0.057002024769554994,0.21756204411259214,0.2113262866212624,2.2734133083411434,-0.20405619556055077,1.8885978294582948,train,5.0,15,60
15774,0.396031444148599,0.06634570919891966,-0.08560951870615102,0.27669708808626675,0.2397774029997556,2.135630766411654,-0.20405619556055077,2.1630513350608145,train,5.0,15,90
5879,0.45705051879571357,0.021255385681780804,-0.013506433647013654,0.14832380767633113,0.14330393761306226,1.2428619246861925,-0.17638372093023255,1.4953610212241615,train,6.0,5,30
5884,0.4309993201903467,0.04888690813441795,-0.055925989677601734,0.22117159541781892,0.22103610566295767,1.9529397993311042,-0.17638372093023255,1.9482979821313426,train,6.0,5,60
5884,0.39649898028552005,0.0736812861699844,-0.08548223559760168,0.2907264952299908,0.2534384976219518,2.135630766411654,-0.17638372093023255,2.298561313735724,train,6.0,5,90
9340,0.4690578158458244,0.024281873458721244,-0.00993538232685936,0.14882395506776497,0.16315836686146945,1.2428619246861925,-0.17638372093023255,1.573489756001566,train,6.0,10,30
9351,0.44412362314190995,0.054548340230077985,-0.04872891566265056,0.221313563265621,0.24647536023180358,1.9529397993311042,-0.17638372093023255,2.073960361443445,train,6.0,10,60
9349,0.40571184083859235,0.07702212620748132,-0.08527780024262034,0.2877702807824341,0.2676514266798563,2.135630766411654,-0.17638372093023255,2.370058814075285,train,6.0,10,90
11346,0.47479287854750574,0.026462483555544557,-0.008575521515808301,0.15221891277571145,0.17384491238967117,1.875777271576816,-0.18752300048084622,1.6260177475802966,train,6.0,15,30
11358,0.44999119563303397,0.05885490531631824,-0.044056051610312646,0.2261988885866329,0.2601909571000264,2.1068349701366893,-0.18752300048084622,2.1659199133460274,train,6.0,15,60
11354,0.40928307204509423,0.08103068343724057,-0.08534672821069768,0.29148248546165645,0.2779950339345514,2.135630766411654,-0.18752300048084622,2.4432000783433083,train,6.0,15,90
4038,0.47523526498266466,0.029993855192389347,-0.00793485881567248,0.15377676549486854,0.1950480301485482,1.2428619246861925,-0.15828032480068382,1.714515967716967,train,7.0,5,30
4042,0.44730331519049976,0.06224324124041516,-0.039837746134504595,0.22960065704869953,0.27109348048256254,1.326710659898477,-0.15828032480068382,2.246591689184525,train,7.0,5,60
4042,0.4067293419099456,0.09014287274808948,-0.08504023932595334,0.3098064223965721,0.29096515188668626,1.836247329960652,-0.15828032480068382,2.6224229770545455,train,7.0,5,90
5438,0.4920926811327694,0.03605242138393152,-0.002894508182069163,0.15956086595681057,0.22594776712787504,1.2428619246861925,-0.16212851643470538,1.8683808178020256,train,7.0,10,30
5444,0.4605069801616459,0.07031439259861846,-0.031417149804144354,0.23440639714193842,0.2999678910471095,1.326710659898477,-0.1696626506024096,2.4239671345093403,train,7.0,10,60
5442,0.41620727673649394,0.09570832331939784,-0.08502399751274527,0.3105132819129817,0.308226181919713,1.836247329960652,-0.1696626506024096,2.7322737674025785,train,7.0,10,90
5933,0.4951963593460307,0.03816192668100289,-0.0018325004515625382,0.16513152036139586,0.23110019575599036,1.875777271576816,-0.18752300048084622,1.9196818664368076,train,7.0,15,30
5940,0.46144781144781144,0.07305814917661912,-0.030926400838460405,0.23847792970157086,0.30635182579806625,1.5466622795916647,-0.18752300048084622,2.477037575693951,train,7.0,15,60
5936,0.41543126684636117,0.09936505264215356,-0.08515677717709898,0.31589237205514553,0.3145535043967676,1.836247329960652,-0.18752300048084622,2.7894436255906547,train,7.0,15,90
1577,0.49524413443246673,0.04086318570188863,-0.0018325004515625382,0.16197700452122174,0.2522776972118586,0.8228324895443538,-0.15828032480068382,2.0014403539505903,train,8.0,5,30
1577,0.44324667089410275,0.07621113298274132,-0.03891834683155361,0.24745394335646503,0.30798108104083366,1.326710659898477,-0.15828032480068382,2.5305725969995683,train,8.0,5,60
1577,0.40456563094483194,0.11862527078303926,-0.0857343867569601,0.3534029281010246,0.3356657835871942,1.836247329960652,-0.15828032480068382,3.084537358671722,train,8.0,5,90
1649,0.49181322013341416,0.03989998065131237,-0.004,0.16259381644963028,0.24539666712155028,0.8228324895443538,-0.15828032480068382,1.9583303993226582,train,8.0,10,30
1649,0.44026682838083686,0.07465670783950358,-0.04281563040526723,0.24612153818272606,0.30333268835690763,1.326710659898477,-0.15828032480068382,2.4804053507083017,train,8.0,10,60
1649,0.39902971497877504,0.11636426963813842,-0.08609519012843114,0.35203350986875254,0.33054884372093474,1.836247329960652,-0.15828032480068382,3.0173717353260647,train,8.0,10,90
1654,0.4909310761789601,0.03955399232953153,-0.004,0.16252312436768526,0.24337455044271913,0.8228324895443538,-0.15828032480068382,1.9467583015312797,train,8.0,15,30
1654,0.439540507859734,0.07418462142543941,-0.04550178095376213,0.24592274342442358,0.3016582378369476,1.326710659898477,-0.15828032480068382,2.4676430267778677,train,8.0,15,60
1654,0.3978234582829504,0.11568102888825578,-0.08622788412330928,0.35172134878439765,0.32889965106771873,1.836247329960652,-0.15828032480068382,3.0000789890269766,train,8.0,15,90
117,0.41025641025641024,0.019417428729543995,-0.048796040374829805,0.16748980947011416,0.11593200082425743,0.773072788194197,-0.14409992471425642,1.3905640295094261,train,9.0,5,30
117,0.3418803418803419,0.04479352784233548,-0.0866520096186877,0.23628236243000056,0.1895762653702335,0.9067747910548906,-0.14409992471425642,1.7589290334931706,train,9.0,5,60
117,0.2905982905982906,0.07996884455710296,-0.08848736387918639,0.3585207455369651,0.2230522098165664,1.7789165655094281,-0.14409992471425642,2.213198390960962,train,9.0,5,90
117,0.41025641025641024,0.019417428729543995,-0.048796040374829805,0.16748980947011416,0.11593200082425743,0.773072788194197,-0.14409992471425642,1.3905640295094261,train,9.0,10,30
117,0.3418803418803419,0.04479352784233548,-0.0866520096186877,0.23628236243000056,0.1895762653702335,0.9067747910548906,-0.14409992471425642,1.7589290334931706,train,9.0,10,60
117,0.2905982905982906,0.07996884455710296,-0.08848736387918639,0.3585207455369651,0.2230522098165664,1.7789165655094281,-0.14409992471425642,2.213198390960962,train,9.0,10,90
117,0.41025641025641024,0.019417428729543995,-0.048796040374829805,0.16748980947011416,0.11593200082425743,0.773072788194197,-0.14409992471425642,1.3905640295094261,train,9.0,15,30
117,0.3418803418803419,0.04479352784233548,-0.0866520096186877,0.23628236243000056,0.1895762653702335,0.9067747910548906,-0.14409992471425642,1.7589290334931706,train,9.0,15,60
117,0.2905982905982906,0.07996884455710296,-0.08848736387918639,0.3585207455369651,0.2230522098165664,1.7789165655094281,-0.14409992471425642,2.213198390960962,train,9.0,15,90
