signal_date,entry_date,symbol,score,gross_ret,net_ret,win,flag_bearTrap,flag_sellPressure,flag_lowSessionLiq,flag_lowVol,flag_volCritical,flag_deepDowntrend
2018-04-26,2018-04-27,SHB,4.5,-0.018613974799541796,-0.022613974799541796,False,False,False,False,False,False,True
2018-04-27,2018-05-02,BSR,8.0,0.09590612316922532,0.09190612316922532,True,True,False,False,True,False,False
2018-04-27,2018-05-02,POW,6.5,0.06621898899459064,0.062218988994590635,True,False,False,False,True,False,False
2018-04-27,2018-05-02,VPB,6.5,-0.09721063849504212,-0.10121063849504212,False,False,False,False,False,False,True
2018-04-27,2018-05-02,PLX,5.0,0.08660267559964771,0.0826026755996477,True,False,False,False,False,False,True
2018-05-02,2018-05-03,VJC,6.0,0.05237735330493348,0.04837735330493348,True,False,False,False,False,False,True
2018-05-02,2018-05-03,VPB,6.0,-0.09306891812291385,-0.09706891812291385,False,False,False,False,True,False,True
2018-05-02,2018-05-03,NVL,5.0,-0.08998164909334092,-0.09398164909334092,False,False,False,False,False,False,True
2018-05-02,2018-05-03,BSR,4.5,0.20877327702054146,0.20477327702054146,True,True,False,False,False,False,False
2018-05-02,2018-05-03,POW,4.5,0.06621898899459064,0.062218988994590635,True,False,False,False,True,False,False
2018-05-02,2018-05-03,HSG,4.0,-0.00038535645472063116,-0.004385356454720631,False,False,True,False,False,False,True
2018-05-02,2018-05-03,VRE,4.0,-0.006482893876661762,-0.010482893876661762,False,False,False,False,False,False,False
2018-05-03,2018-05-04,SHB,8.0,-0.09919197548063524,-0.10319197548063525,False,False,False,False,False,False,True
2018-05-03,2018-05-04,BSR,7.5,0.19343629343629357,0.18943629343629356,True,True,False,False,False,False,False
2018-05-03,2018-05-04,VPB,7.0,-0.11332514873925782,-0.11732514873925783,False,False,False,False,False,False,True
2018-05-03,2018-05-04,BID,6.0,-0.033747111612660544,-0.03774711161266055,False,False,False,False,False,False,True
2018-05-03,2018-05-04,POW,6.0,0.12116844431632548,0.11716844431632548,True,False,False,False,False,False,False
2018-05-03,2018-05-04,VJC,6.0,0.055346855292312896,0.05134685529231289,True,False,False,False,True,False,True
2018-05-03,2018-05-04,HSG,5.5,-0.0042823773682845005,-0.0082823773682845,False,True,True,False,False,False,True
2018-05-03,2018-05-04,KDH,5.0,0.044234485720420894,0.04023448572042089,True,False,False,False,True,False,False
2018-05-03,2018-05-04,GAS,4.5,0.17346810760435152,0.16946810760435152,True,False,True,False,False,False,True
2018-05-03,2018-05-04,NVL,4.5,0.009554140127388531,0.005554140127388531,True,False,False,False,True,False,True
2018-05-04,2018-05-07,VJC,7.0,0.033428699458825886,0.029428699458825886,True,False,False,False,True,False,True
2018-05-04,2018-05-07,BSR,6.5,0.1020944867098713,0.0980944867098713,True,True,False,False,False,False,False
